company_name,location_info,last_visit,days_ago,website_visits_score,activity_level
NOBIS,"Markham, Canada",1 jaar geleden,999,1,ROOD
Thermos Installaties Utrecht B.V.,"Zwolle, Netherlands | Construction",13 dagen geleden,13,6,ORANJE
van Dongen Advies,"Rotterdam, Netherlands | Accounting",2 dagen geleden,2,10,GROEN
DES Beveiligingstechniek,"Assen, Netherlands | Security and Investigations",5 maanden geleden,150,1,ROOD
Knaapen,"Son, Netherlands | Construction",6 dagen geleden,6,8,GROEN
Steal IT,"Wijchen, Netherlands | IT Services and IT Consulting",9 maanden geleden,270,1,ROOD
Provincie Drenthe,"Assen, Netherlands | Government Relations Services",1 maand geleden,30,3,ROOD
Restaurant De Nieuwe Polderkeuken,"Stolwijk, Netherlands | Hospitality",1 jaar geleden,999,1,ROOD
Spindler Installatietechniek,"Rotterdam, Netherlands | Construction",1 jaar geleden,999,1,ROOD
Inpijn Blokpoel ingenieurs,"Diemen, Netherlands | Civil Engineering",1 jaar geleden,999,1,ROOD
Gemeente Horst aan de Maas,"Horst, Netherlands | Government Administration",11 maanden geleden,330,1,ROOD
Equinox Autolijn BV,"Leeuwarden, Netherlands | Motor Vehicle Manufacturing",10 maanden geleden,300,1,ROOD
BouwInfoSys Consultancy,"Tilburg, Netherlands",9 maanden geleden,270,1,ROOD
Heva Klimaat & Installatie,"Varsseveld, Netherlands | Industrial Machinery Manufacturing",9 maanden geleden,270,1,ROOD
Dutch Wheels BV,"Weert, Netherlands | Entertainment Providers",9 maanden geleden,270,1,ROOD
MM Techniek - Elektrotechnisch Installatiebedrijf,"Almere Stad, Netherlands | Appliances, Electrical, and Electronics Manufacturing",9 maanden geleden,270,1,ROOD
Bridge Fund,"Amsterdam, Netherlands | Financial Services",8 maanden geleden,240,1,ROOD
Damon!,"Slagharen, Netherlands | Printing Services",8 maanden geleden,240,1,ROOD
Unified Service Provider,"Hilversum, Netherlands",7 maanden geleden,210,1,ROOD
CSD Techniek,"Dalen, Netherlands | Security and Investigations",7 maanden geleden,210,1,ROOD
Olthof Marine Group,"Capelle aan den IJssel, Netherlands | Shipbuilding",7 maanden geleden,210,1,ROOD
Van de Griendt beveiligingen,"Almere Stad, Netherlands | Security and Investigations",7 maanden geleden,210,1,ROOD
Labots Totaalinstallaties,"Krimpen aan den IJssel, Netherlands | IT Services and IT Consulting",7 maanden geleden,210,1,ROOD
Copijn,"Utrecht, Netherlands | Environmental Services",6 maanden geleden,180,1,ROOD
MKM Video Productions,"Velsen-Noord, Netherlands",6 maanden geleden,180,1,ROOD
Ahc,"Gardiner, United States of America | Hospitals and Health Care",5 maanden geleden,150,1,ROOD
D.P. Factory,"Dodewaard, Netherlands | Wholesale",5 maanden geleden,150,1,ROOD
Barth Installatietechniek,"'s-Gravendeel, Netherlands | Engineering Services",22 dagen geleden,22,3,ROOD
Bharti,"New Delhi, India",4 maanden geleden,120,1,ROOD
Endenburg Elektrotechniek,"Rotterdam, Netherlands | Construction",4 maanden geleden,120,1,ROOD
Gebr. Kok B.V.,"Hoorn, Netherlands | Appliances, Electrical, and Electronics Manufacturing",2 maanden geleden,60,1,ROOD
Gebr. Middelveld,"Alteveer, Netherlands | Construction",3 maanden geleden,90,1,ROOD
D.A.H.H. Hegeman Holding,"Hengelo, Netherlands",3 maanden geleden,90,1,ROOD
PARTELL SPECIALTY PHARMACY,"Las Vegas, United States of America | Pharmaceutical Manufacturing",3 maanden geleden,90,1,ROOD
Stichting Waarborgfonds Eigen Woningen,"Utrecht, Netherlands | Financial Services",3 maanden geleden,90,1,ROOD
Van Dijk Heftrucks bv,"Genemuiden, Netherlands | Machinery Manufacturing",2 maanden geleden,60,1,ROOD
Alco Energy Rotterdam B.V.,"Rotterdam, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Beekman Elektro,"Venray, Netherlands | Construction",2 maanden geleden,60,1,ROOD
MFS bv,"Heteren, Netherlands | Industrial Machinery Manufacturing",2 maanden geleden,60,1,ROOD
R & J Mango,"Amsterdam, Netherlands",2 maanden geleden,60,1,ROOD
Verkade Klimaat,"Naaldwijk, Netherlands",15 dagen geleden,15,4,ORANJE
Grimbergen Industrial Systems,"Amsterdam, Netherlands | Architecture and Planning",2 maanden geleden,60,1,ROOD
Brainport Eindhoven,"Eindhoven, Netherlands | Business Consulting and Services",2 maanden geleden,60,1,ROOD
Uitgekookt,"IJsselmuiden, Netherlands | Food and Beverage Manufacturing",2 maanden geleden,60,1,ROOD
NeXT,"London, United Kingdom of Great Britain and Northern Ireland | Information Services",2 maanden geleden,60,1,ROOD
Deko Brand en Veiligheidsadvies BV,"Den Helder, Netherlands | Security and Investigations",2 maanden geleden,60,1,ROOD
Radiair Totaalinstallatie,"Lopik, Netherlands | Appliances, Electrical, and Electronics Manufacturing",2 maanden geleden,60,1,ROOD
Carool Installatiebedrijf,"Terschuur, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Pilot Flying J,"Knoxville, United States of America | Retail",1 maand geleden,30,3,ROOD
Saint Michael's College,"Colchester, United States of America | Higher Education",1 maand geleden,30,3,ROOD
"TWICE Eindhoven, building I high tech I success","Eindhoven, Netherlands | Venture Capital and Private Equity Principals",30 dagen geleden,30,3,ROOD
Coolman Elektrotechniek,"Bedum, Netherlands | Appliances, Electrical, and Electronics Manufacturing",30 dagen geleden,30,3,ROOD
Van Kooten Beveiligingstechniek,"Almelo, Netherlands",29 dagen geleden,29,3,ROOD
ESH Media,"Frankfurt am Main, Germany | Advertising Services",28 dagen geleden,28,3,ROOD
Tuincentrum Stolzenbach,"Groningen, Netherlands | Retail",24 dagen geleden,24,3,ROOD
Kennemerwonen,"Alkmaar, Netherlands | Real Estate",22 dagen geleden,22,3,ROOD
Mind Media,"Herten, Netherlands | Medical Equipment Manufacturing",16 dagen geleden,16,4,ORANJE
Ooms Makelaars,"Rotterdam, Netherlands | Real Estate",14 dagen geleden,14,6,ORANJE
NeuroNation,"Berlin, Germany | Wellness and Fitness Services",7 dagen geleden,7,8,GROEN
ALK,"Hamburg, Germany | Pharmaceutical Manufacturing",2 dagen geleden,2,10,GROEN
Next-A,"Diemen, Netherlands | Business Consulting and Services",8 maanden geleden,240,1,ROOD
Kronenburg Techniek,"Amsterdam, Netherlands | Appliances, Electrical, and Electronics Manufacturing",6 dagen geleden,6,8,GROEN
Klimaat Comfort,"Pijnacker, Netherlands",3 maanden geleden,90,1,ROOD
Escrow Alliance BV,"The Hague, Netherlands | IT Services and IT Consulting",3 maanden geleden,90,1,ROOD
StudieKlus,"Amsterdam, Netherlands | Staffing and Recruiting",3 dagen geleden,3,8,GROEN
Bezemer Group B.V.,"Dordrecht, Netherlands | Machinery Manufacturing",8 maanden geleden,240,1,ROOD
Relpol,"Żary, Poland | Appliances, Electrical, and Electronics Manufacturing",3 maanden geleden,90,1,ROOD
Bras Elektrotechniek B.V.,"Dronten, Netherlands | Construction",28 dagen geleden,28,3,ROOD
Tevron,"Nashua, United States of America",8 dagen geleden,8,6,ORANJE
On The Rocks,"Leeuwarden, Netherlands | Movies and Sound Recording",1 jaar geleden,999,1,ROOD
Vecened,"The Hague, Netherlands | Construction",10 maanden geleden,300,1,ROOD
Kees Smit en Zonen Elektra,"Almere Stad, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Meinders Installatiebedrijf,"Amsterdam, Netherlands | Construction",2 dagen geleden,2,10,GROEN
CAK,"The Hague, Netherlands | Government Administration",4 maanden geleden,120,1,ROOD
W.B. Stables,"Wergea, Netherlands | Farming",3 maanden geleden,90,1,ROOD
InterVision,"Bergen op Zoom, Netherlands | IT Services and IT Consulting",1 maand geleden,30,3,ROOD
Jarola,"Bavel AC, Netherlands | Non-profit Organizations",21 dagen geleden,21,4,ORANJE
RechtOp,"Hilversum, Netherlands | Individual and Family Services",2 maanden geleden,60,1,ROOD
Hairfashion Image,"Apeldoorn, Netherlands | Retail Apparel and Fashion",10 dagen geleden,10,6,ORANJE
Enjoygoods.Nl,"Amsterdam, Netherlands",24 dagen geleden,24,3,ROOD
Rensen Regeltechniek,"Uden, Netherlands | Automation Machinery Manufacturing",6 maanden geleden,180,1,ROOD
Herke Beheer,"Alkmaar, Netherlands",6 maanden geleden,180,1,ROOD
FCG isolatie & steigerbouw,"Oosterhout, Netherlands | Construction",8 maanden geleden,240,1,ROOD
Klimaat Comfort,"Apeldoorn, Netherlands",1 maand geleden,30,3,ROOD
Advisiongroup.Nl,"Nijmegen, Netherlands",4 maanden geleden,120,1,ROOD
Varun Digital Media,"Hyderabad, India | Marketing Services",3 maanden geleden,90,1,ROOD
