company_name,location_info,last_visit,days_ago,website_visits_score,activity_level
Martens beton,"Oosterhout, Netherlands | Glass, Ceramics and Concrete Manufacturing",3 maanden geleden,90,1,ROOD
V.D.B. Automatisering,"Berlicum, Netherlands | IT Services and IT Consulting",2 maanden geleden,60,1,ROOD
PCT Refrigeration,"Deurne, Netherlands | Machinery Manufacturing",21 dagen geleden,21,4,ORANJE
Gemeente Wierden,"Wierden, Netherlands | Public Policy Offices",2 maanden geleden,60,1,ROOD
Linthorst,"Leiden, Netherlands | Construction",2 maanden geleden,60,1,ROOD
Wolfsenwolfs.Nl,"Amsterdam, Netherlands",10 maanden geleden,300,1,ROOD
Inceptum.Nu,"Eindhoven, Netherlands",2 maanden geleden,60,1,ROOD
Jkelnerlaw.Com,"Brussels, Belgium",1 maand geleden,30,3,ROOD
THE FWD CO.,"Hamont-Achel, Belgium",1 jaar geleden,999,1,ROOD
Zondervan Groep,"Rhoon, Netherlands | Construction",7 maanden geleden,210,1,ROOD
Voshol Warmte en Elektrotechniek,"Bleiswijk, Netherlands",3 maanden geleden,90,1,ROOD
Batenburg Techniek N.V.,"Rotterdam, Netherlands | Industrial Machinery Manufacturing",10 maanden geleden,300,1,ROOD
Ctrack UK & Ireland,"Papendrecht, Netherlands | IT Services and IT Consulting",20 dagen geleden,20,4,ORANJE
Mobilis TBI,"Apeldoorn, Netherlands | Construction",14 dagen geleden,14,6,ORANJE
DKC totaaltechniek B.V.,"Wijchen, Netherlands | Construction",6 maanden geleden,180,1,ROOD
"Ministerie van Onderwijs, Cultuur en Wetenschappen","Groningen, Netherlands | Government Administration",8 maanden geleden,240,1,ROOD
Accountants Adviseurs Blomer,"Nieuwegein, Netherlands | Accounting",6 maanden geleden,180,1,ROOD
Mampaey installatie bedrijven,"Dordrecht, Netherlands | Appliances, Electrical, and Electronics Manufacturing",7 maanden geleden,210,1,ROOD
Brainport Eindhoven,"Eindhoven, Netherlands | Business Consulting and Services",11 maanden geleden,330,1,ROOD
Exclaimer,"Zwaagdijk-Oost, Netherlands | IT Services and IT Consulting",11 maanden geleden,330,1,ROOD
Haskoning,"Amersfoort, Netherlands | Business Consulting and Services",1 jaar geleden,999,1,ROOD
GVB,"Amsterdam, Netherlands | Rail Transportation",1 jaar geleden,999,1,ROOD
Ymere,"Amsterdam, Netherlands | Real Estate",4 maanden geleden,120,1,ROOD
Waterschap Reest En Wieden,"Zwolle, Netherlands",11 maanden geleden,330,1,ROOD
Samenwerking A2-gemeenten,"Heeze, Netherlands | Government Administration",10 maanden geleden,300,1,ROOD
Strukton,"Utrecht, Netherlands | Construction",10 maanden geleden,300,1,ROOD
Deltacom kantoorautomatisering,"Steenbergen, Netherlands | IT Services and IT Consulting",10 maanden geleden,300,1,ROOD
Fontys University of Applied Sciences,"Eindhoven, Netherlands | Higher Education",10 maanden geleden,300,1,ROOD
Linklaters,"Amsterdam, Netherlands | Law Practice",10 maanden geleden,300,1,ROOD
Paree B.V.,"s-Heerenhoek, Netherlands | Automation Machinery Manufacturing",10 maanden geleden,300,1,ROOD
Royal Jaarbeurs,"Utrecht, Netherlands | Musicians",4 maanden geleden,120,1,ROOD
New York University,"London, United Kingdom of Great Britain and Northern Ireland | Higher Education",10 maanden geleden,300,1,ROOD
gemeente Smallingerland,"Drachten, Netherlands | Government Administration",9 maanden geleden,270,1,ROOD
Gemeente Veldhoven,"Veldhoven, Netherlands | Government Relations Services",9 maanden geleden,270,1,ROOD
Texas Capital Securities,"Dallas, United States of America | Financial Services",2 maanden geleden,60,1,ROOD
Volker Wessels,"Amersfoort, Netherlands | Construction",9 maanden geleden,270,1,ROOD
JWR Elektrotechniek,"Wijchen, Netherlands | Appliances, Electrical, and Electronics Manufacturing",9 maanden geleden,270,1,ROOD
Voya Financial,"New York, United States of America | Financial Services",7 maanden geleden,210,1,ROOD
Southend-on-Sea City Council,"Southend-on-Sea, United Kingdom of Great Britain and Northern Ireland | Retail Office Equipment",7 maanden geleden,210,1,ROOD
Nederlands Instituut Fysieke Veiligheid,"Arnhem, Netherlands",7 maanden geleden,210,1,ROOD
Inflexion,"Manchester, United Kingdom of Great Britain and Northern Ireland | Business Consulting and Services",7 maanden geleden,210,1,ROOD
Waterschap Brabantse Delta,"Breda, Netherlands | Government Administration",6 maanden geleden,180,1,ROOD
Inflexion,"London, United Kingdom of Great Britain and Northern Ireland | Business Consulting and Services",7 maanden geleden,210,1,ROOD
Rijksmuseum,"Amsterdam, Netherlands | Museums, Historical Sites, and Zoos",6 maanden geleden,180,1,ROOD
Volvo Group,"Gothenburg, Sweden | Motor Vehicle Manufacturing",6 maanden geleden,180,1,ROOD
Royal BAM Group,"Bunnik, Netherlands | Construction",6 maanden geleden,180,1,ROOD
De Huismeesters,"Groningen, Netherlands | Real Estate",6 maanden geleden,180,1,ROOD
Stichting De Nederlandse School voor Onderwijsmanagement,"Diemen, Netherlands | Higher Education",5 maanden geleden,150,1,ROOD
Wasco,"Apeldoorn, Netherlands",5 maanden geleden,150,1,ROOD
ULC Groep,"Utrecht, Netherlands | Construction",5 maanden geleden,150,1,ROOD
Deltion College,"Zwolle, Netherlands | Higher Education",5 maanden geleden,150,1,ROOD
Shoeby,"Rosmalen, Netherlands | Retail",5 maanden geleden,150,1,ROOD
AllSolutions,"Woerden, Netherlands | Software Development",4 maanden geleden,120,1,ROOD
Onecom,"Fareham, United Kingdom of Great Britain and Northern Ireland | Consumer Services",2 maanden geleden,60,1,ROOD
Bogro Snelrewaard BV,"Snelrewaard, Netherlands | Construction",4 maanden geleden,120,1,ROOD
Agriband,"Veenendaal, Netherlands",4 maanden geleden,120,1,ROOD
Laurens,"Rotterdam, Netherlands | Printing Services",3 maanden geleden,90,1,ROOD
Van Raam,"Varsseveld, Netherlands | Manufacturing",3 maanden geleden,90,1,ROOD
Prime Vision,"Delft, Netherlands | Software Development",3 maanden geleden,90,1,ROOD
Lightronics,"Waalwijk, Netherlands | Electric Lighting Equipment Manufacturing",3 maanden geleden,90,1,ROOD
Alliander,"Arnhem, Netherlands | Utilities",3 maanden geleden,90,1,ROOD
Veld Koeltechniek,"Groenlo, Netherlands | Industrial Machinery Manufacturing",2 maanden geleden,60,1,ROOD
"Rozet | taal, kunst en erfgoed","Arnhem, Netherlands | Non-profit Organizations",3 maanden geleden,90,1,ROOD
TANATEX Chemicals,"Ede, Netherlands | Chemical Manufacturing",2 maanden geleden,60,1,ROOD
